bin,promised,realized,true_cut,t,setting,seed,p,K
0,0.121351,0.134776,0.140599,10,baseline,3,0.1,5
1,0.214379,0.215836,0.202055,10,baseline,3,0.1,5
2,0.266063,0.262859,0.261304,10,baseline,3,0.1,5
3,0.30747,0.28513,0.311919,10,baseline,3,0.1,5
4,0.354872,0.295519,0.343914,10,baseline,3,0.1,5
0,0.119572,0.0965325,0.132168,1,baseline,3,0.25,1
1,0.214313,0.189008,0.207523,1,baseline,3,0.25,1
2,0.26935,0.241173,0.2586,1,baseline,3,0.25,1
3,0.308184,0.277078,0.328891,1,baseline,3,0.25,1
4,0.357192,0.290685,0.34592,1,baseline,3,0.25,1
0,0.119572,0.134942,0.132168,10,baseline,3,0.25,1
1,0.214313,0.2113,0.207523,10,baseline,3,0.25,1
2,0.26935,0.254526,0.2586,10,baseline,3,0.25,1
3,0.308184,0.284359,0.328891,10,baseline,3,0.25,1
4,0.357192,0.297559,0.34592,10,baseline,3,0.25,1
0,0.119572,0.0965325,0.132168,1,baseline,3,0.25,3
1,0.214313,0.189008,0.207523,1,baseline,3,0.25,3
2,0.26935,0.241173,0.2586,1,baseline,3,0.25,3
3,0.308184,0.277078,0.328891,1,baseline,3,0.25,3
4,0.357192,0.290685,0.34592,1,baseline,3,0.25,3
0,0.119572,0.135312,0.132168,10,baseline,3,0.25,3
1,0.214313,0.21023,0.207523,10,baseline,3,0.25,3
2,0.26935,0.252031,0.2586,10,baseline,3,0.25,3
3,0.308184,0.280198,0.328891,10,baseline,3,0.25,3
4,0.357192,0.290784,0.34592,10,baseline,3,0.25,3
0,0.119572,0.0965325,0.132168,1,baseline,3,0.25,5
1,0.214313,0.189008,0.207523,1,baseline,3,0.25,5
2,0.26935,0.241173,0.2586,1,baseline,3,0.25,5
3,0.308184,0.277078,0.328891,1,baseline,3,0.25,5
4,0.357192,0.290685,0.34592,1,baseline,3,0.25,5
0,0.119572,0.131023,0.132168,10,baseline,3,0.25,5
1,0.214313,0.207851,0.207523,10,baseline,3,0.25,5
2,0.26935,0.248755,0.2586,10,baseline,3,0.25,5
3,0.308184,0.276163,0.328891,10,baseline,3,0.25,5
4,0.357192,0.28607,0.34592,10,baseline,3,0.25,5
0,0.120919,0.0957673,0.130132,1,baseline,3,0.5,1
1,0.214445,0.186007,0.20845,1,baseline,3,0.5,1
2,0.269635,0.24186,0.265151,1,baseline,3,0.5,1
3,0.307582,0.276269,0.320637,1,baseline,3,0.5,1
4,0.357491,0.293046,0.350256,1,baseline,3,0.5,1
0,0.120919,0.143663,0.130132,10,baseline,3,0.5,1
1,0.214445,0.213907,0.20845,10,baseline,3,0.5,1
2,0.269635,0.250637,0.265151,10,baseline,3,0.5,1
3,0.307582,0.271449,0.320637,10,baseline,3,0.5,1
4,0.357491,0.284798,0.350256,10,baseline,3,0.5,1
0,0.120919,0.0957673,0.130132,1,baseline,3,0.5,3
1,0.214445,0.186007,0.20845,1,baseline,3,0.5,3
2,0.269635,0.24186,0.265151,1,baseline,3,0.5,3
3,0.307582,0.276269,0.320637,1,baseline,3,0.5,3
4,0.357491,0.293046,0.350256,1,baseline,3,0.5,3
0,0.120919,0.144884,0.130132,10,baseline,3,0.5,3
1,0.214445,0.21473,0.20845,10,baseline,3,0.5,3
2,0.269635,0.252269,0.265151,10,baseline,3,0.5,3
3,0.307582,0.273398,0.320637,10,baseline,3,0.5,3
4,0.357491,0.283628,0.350256,10,baseline,3,0.5,3
0,0.120919,0.0957673,0.130132,1,baseline,3,0.5,5
1,0.214445,0.186007,0.20845,1,baseline,3,0.5,5
2,0.269635,0.24186,0.265151,1,baseline,3,0.5,5
3,0.307582,0.276269,0.320637,1,baseline,3,0.5,5
4,0.357491,0.293046,0.350256,1,baseline,3,0.5,5
0,0.120919,0.14269,0.130132,10,baseline,3,0.5,5
1,0.214445,0.212647,0.20845,10,baseline,3,0.5,5
2,0.269635,0.24832,0.265151,10,baseline,3,0.5,5
3,0.307582,0.268002,0.320637,10,baseline,3,0.5,5
4,0.357491,0.278171,0.350256,10,baseline,3,0.5,5
